9,9,9,9,9,9,9,9,9,9,9,0,9,6,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,6,9,0,9,9,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0
0,9,9,9,6,9,9,7,7,3,9,0,9,7,9,9,9,9,9,9,9,9,0,9,9,9,9,9,6,9,9,7,9,0,9,9,8,9,9,9,6,9,9,9,1,9,5,9,9,8,9,9,9,9,9,0,9,9,9,9,9,9,9,8,5,9,0,9,9,9,7,9,9,9,9,9,9,0,9,9,7,9,6,9,9,9,9,9,0,9,3,9,9,9,8,9,9,9,9,0
0,9,7,9,7,9,9,9,8,8,9,0,8,5,9,4,9,9,7,9,7,8,1,9,9,9,9,9,7,7,9,5,9,0,8,9,7,8,8,9,7,9,9,8,1,9,6,9,7,6,9,4,9,9,9,0,9,8,9,9,9,9,9,7,6,9,0,9,9,8,9,9,9,8,9,8,9,0,9,8,8,7,7,8,7,9,9,9,1,6,8,9,7,9,6,9,8,8,6,0
0,9,9,9,9,9,9,9,9,7,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,8,9,9,9,9,9,9,9,9,0,8,9,9,9,9,9,9,9,8,8,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,7,7,9,9,9,9,9,9,9,7,0
0,9,8,9,7,9,9,9,9,5,9,0,9,8,9,9,9,9,8,9,8,9,0,9,9,9,9,9,5,9,9,8,9,0,9,9,9,9,9,9,7,9,9,9,0,9,5,9,9,8,9,9,9,9,9,0,9,9,9,9,9,9,9,9,5,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,8,5,9,9,9,9,9,0,9,5,9,9,9,8,9,9,9,9,0
0,8,5,8,4,8,7,8,7,5,8,0,7,6,7,7,6,7,8,7,5,7,0,7,6,8,8,7,7,6,8,6,7,0,6,7,7,8,8,8,4,7,6,6,0,7,7,7,6,7,8,7,8,7,7,0,8,8,6,8,7,6,8,7,7,8,0,7,6,7,8,7,7,8,7,8,7,0,6,9,7,8,7,8,6,6,6,6,0,7,5,7,6,8,7,8,7,9,7,0
0,9,9,9,9,9,9,9,9,5,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,6,9,9,9,9,9,9,9,0,9,7,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,6,7,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,5,9,9,9,9,9,9,9,9,0
0,7,5,7,4,5,6,7,6,6,7,0,6,4,6,4,5,6,6,6,5,6,0,8,6,6,7,8,4,4,7,4,8,0,5,5,3,6,8,7,4,6,6,5,0,7,4,6,7,6,5,4,6,5,7,0,6,4,6,6,6,5,7,3,4,6,0,6,7,6,7,6,8,6,6,4,6,0,6,6,6,6,4,8,7,6,7,6,0,5,6,6,4,7,6,6,6,6,5,0
0,7,7,8,5,5,9,6,7,4,7,0,7,6,7,8,7,7,4,8,7,7,1,8,7,6,8,6,4,7,8,6,8,0,5,4,4,7,8,8,5,7,7,5,0,5,4,6,7,5,5,8,6,4,5,0,5,7,6,6,9,7,8,4,4,5,0,7,6,7,6,7,6,7,6,7,7,0,7,5,7,4,4,8,7,6,6,7,0,7,4,8,7,8,5,6,7,5,7,0
0,9,9,9,8,9,9,9,9,7,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,8,7,9,9,9,9,0,9,8,9,9,9,9,8,9,9,9,0,9,8,7,9,9,9,9,9,8,9,0,9,9,9,9,9,9,9,9,8,9,0,9,9,9,9,9,8,9,7,9,9,0,9,9,9,9,7,9,9,9,9,9,0,9,7,9,9,9,9,9,9,9,9,0
0,8,6,8,5,7,3,4,6,3,8,0,9,4,7,6,5,5,6,9,6,9,0,6,8,8,8,7,3,3,8,4,6,0,9,9,6,9,7,9,5,7,8,9,0,7,4,4,7,4,7,6,8,9,7,0,3,7,5,8,3,5,8,6,4,3,0,8,8,6,4,5,7,9,4,7,8,0,9,9,6,6,3,7,7,5,8,9,0,9,3,9,3,9,4,8,6,9,9,0
0,7,8,9,9,7,4,5,6,3,7,0,7,2,9,4,5,5,3,9,8,7,0,9,9,9,9,5,2,8,9,2,9,0,5,2,7,6,4,9,9,9,9,5,0,6,3,3,9,5,7,4,9,2,6,0,2,4,5,6,4,5,9,7,3,2,3,4,4,4,5,5,5,6,3,4,4,0,9,5,6,3,2,4,9,5,4,9,0,8,3,9,8,9,5,6,4,5,8,0
0,9,7,9,7,9,9,4,9,3,9,0,9,6,9,8,6,9,8,9,7,9,0,9,9,9,9,9,4,7,9,6,9,0,9,7,4,9,9,9,7,9,9,9,0,9,4,9,9,9,9,8,9,7,9,0,9,9,4,9,9,6,9,4,4,9,0,9,7,7,4,9,9,9,9,9,9,0,9,7,9,8,4,9,9,4,7,9,0,9,3,9,7,9,9,9,7,7,9,0
0,8,6,9,4,4,8,4,8,2,8,0,8,4,9,9,8,9,7,9,6,8,0,9,7,8,9,9,4,7,9,4,9,0,5,4,7,9,9,9,4,9,7,5,0,4,4,3,9,4,4,9,8,4,4,0,6,2,9,9,8,8,9,7,4,6,0,4,8,3,4,9,9,9,3,2,4,0,9,3,8,7,4,9,9,9,8,9,0,9,2,9,7,9,4,9,3,3,9,0
0,9,8,9,8,9,9,9,9,6,9,0,9,7,9,9,9,9,8,9,8,9,0,9,9,9,9,9,8,9,9,7,9,0,9,8,8,9,9,9,8,9,9,9,0,9,7,9,9,9,9,9,9,8,9,0,9,7,8,9,9,9,9,8,7,9,0,9,9,9,9,9,9,9,9,7,9,0,9,9,9,8,8,9,9,8,9,9,0,9,6,9,9,9,9,9,9,9,9,0
0,9,4,7,3,7,8,2,8,3,9,0,9,3,7,4,6,7,7,8,4,9,0,8,7,6,9,5,3,3,7,3,8,0,6,4,2,8,7,8,3,7,7,6,0,6,4,8,7,6,7,4,6,4,6,0,8,3,5,9,8,6,9,2,4,8,0,8,7,8,2,7,5,8,8,3,8,0,5,7,8,7,3,7,7,5,7,5,0,5,3,8,3,8,6,9,8,7,5,0
0,9,9,9,9,9,9,9,9,6,9,0,9,8,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,8,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,6,9,9,9,9,9,9,9,9,0
0,9,8,9,3,9,8,8,9,4,9,0,9,5,8,6,8,9,7,9,8,9,0,9,9,9,9,9,3,8,9,5,9,0,7,7,6,9,9,9,3,8,9,7,0,6,4,9,9,4,9,6,9,7,6,0,7,6,8,9,8,8,9,6,4,7,0,9,9,8,8,9,9,9,9,6,9,0,9,9,9,7,3,9,9,8,9,9,0,9,4,9,8,9,4,9,8,9,9,0
